"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.scalability.QT.+OR+.QT.number+of+nodes.QT.+OR+.QT.number+of+resources.QT.%29+AND+.QT.intrusion+detection+system.QT.%29",2016/09/19 11:06:38,"Scalability","(""scalability"" OR ""number of nodes"" OR ""number of resources"") AND ""intrusion detection system""",IEEE
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Convergent Technologies for the Asia-Pacific Region","","","TENCON 2003. Conference on Convergent Technologies for the Asia-Pacific Region","","2003","4","","vii","xliv","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01273115.png"" border=""0"">","","","10.1109/TENCON.2003.1273115","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1273115","","IEEE catalog;Information retrieval;Libraries;Material storage;Permission;Protection;Region 10;Sections;Typesetting;World Wide Web","","","","0","","","","","15-17 Oct. 2003","","IEEE","IEEE Conference Publications"
"Role-based multiple controllers for load balancing and security in SDN","D. Chourishi; A. Miri; M. Mili&#x0107;; S. Ismaeel","Dept. Comput. Sci., Ryerson Univ., Toronto, ON, Canada","Humanitarian Technology Conference (IHTC2015), 2015 IEEE Canada International","","2015","","","1","4","Software Defined Networks (SDNs) are gaining success in modern IT. While using SDN, enterprises and the research sector have encountered many challenges related to security and exposed weaknesses in heavy load management systems. In this paper, three architectures are proposed which are designed to work with all existing OpenFlow, OpenStack and OpenDaylight platforms. These architectures improve the controller framework without any interruption to network operation. At the same time, some of the key issues related to load balancing and security in a nSDN framework will be addressed. This work will support the IT community not only by reducing the cost of SDN network architecture but also by reducing the cost of load balancing and security that are very important in the networking world.","","","10.1109/IHTC.2015.7238045","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7238045","Software-Defined Networks;controller;load balancing;security","Computer architecture;Conferences;Control systems;Load management;Monitoring;Security;Software","computer network security;protocols;resource allocation;software defined networking","OpenDaylight;OpenFlow;OpenStack;SDN network architecture;load balancing;role-based multiple controller;software defined network;system security","","0","","15","","","May 31 2015-June 4 2015","","IEEE","IEEE Conference Publications"
"A Scalable Architecture For High-Throughput Regular-Expression Pattern Matching","B. C. Brodie; D. E. Taylor; R. K. Cytron","Exegy, Inc.","33rd International Symposium on Computer Architecture (ISCA'06)","","2006","","","191","202","We present and evaluate an architecture for high-throughput pattern matching of regular expressions. Our approach matches multiple patterns concurrently, responds rapidly to changes in the pattern set, and is well suited for synthesis in an ASIC or FPGA. Our approach is based on a new and easily pipelined state-machine representation that uses encoding and compression techniques to improve density. We have written a compiler that translates a set of regular expressions and optimizes their deployment in the structures used by our architecture. We analyze our approach in terms of its throughput, density, and efficiency. We present experimental results from an implementation in a commodity FPGA, showing better throughput and density than the best known approaches","1063-6897;10636897","","10.1109/ISCA.2006.7","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1635952","","Application specific integrated circuits;Computer architecture;Computer networks;Encoding;Field programmable gate arrays;Filters;Optimizing compilers;Pattern matching;Postal services;Throughput","optimising compilers;parallel architectures;pattern matching;pattern recognition equipment;pipeline processing;program interpreters","ASIC;FPGA;compiler;compression techniques;encoding;high-throughput pattern matching;pipelined state-machine representation;scalable architecture","","66","12","19","","","0-0 0","","IEEE","IEEE Conference Publications"
"Policy-based network management","A. R. Choudhary","Government Communications Laboratory of the Advanced Technologies Program at Bell Labs in Whippany, New Jersey","Bell Labs Technical Journal","","2004","9","1","19","29","Depending on the context, a policy can be a paper document, a table for selecting options, a sequence of logical assertions to automate operational decisions, or a tool to articulate business goals and service priorities and facilitate decisions in enforcing business rules and service priorities. In this paper, we will analyze these aspects of policies and show how they relate to each other. We will also analyze industry practices, examine applicable standards, and explore some advantages that a policy-based system can offer in such areas as network management, quality of service (QoS), and network security.","1089-7089;10897089","","10.1002/bltj.20002","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6781151","","","","","","6","","","","","2004","","Alcatel-Lucent","Alcatel-Lucent Journal"
"A framework for ensuring network security","A. R. McGee; S. R. Vasireddy; C. Xie; D. D. Picklesimer; U. Chandrashekhar; S. H. Richman","Advanced Network Planning Department at Bell Labs Advanced Technologies in Holmdel, New Jersey","Bell Labs Technical Journal","","2004","8","4","7","27","The current focus of network security is concerned with securing individual components as well as preventing unauthorized access to network services. While these are necessary concerns, they do not represent a complete view of network security. In this paper, we present the Lucent Network Security Framework, which provides a comprehensive, top-down, end-to-end perspective on network security. We show how this framework can be applied to network elements, services, and applications including detecting, correcting, and preventing security vulnerabilities. In addition, we demonstrate how the Network Security Framework can be applied to all types of networks and across all layers of the protocol stack. This framework has been submitted to several government and standards bodies (e.g., ITU-T and ISO), and it has been very well received. Service provider networks developed with attention to the Lucent Network Security Framework will have a comprehensive security architecture enabling new value-added revenue-generating security services such as security service-level agreements (SLAs).","1089-7089;10897089","","10.1002/bltj.10083","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6771379","","","","","","3","","","","","2004","","Alcatel-Lucent","Alcatel-Lucent Journal"
"Composite event coverage in wireless sensor networks with heterogeneous sensors","J. Gao; J. Li; Z. Cai; H. Gao","Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China","2015 IEEE Conference on Computer Communications (INFOCOM)","","2015","","","217","225","Event monitoring is a popular task carried out by Wireless Sensor Networks (WSNs). A composite event involves multiple properties requiring different types of sensors to monitor. Considering the costs of different deployment of heterogeneous sensors and the total budget for a monitored region, this paper investigates the composite event coverage problem with the purpose of optimizing coverage quality subjecting to the constraint of not exceeding the total budget. This is a novel coverage problem which is different from the traditional ones where deployment costs of sensors, total budget and composite events are not considered. Two exact algorithms are proposed whose time complexities are O(n<sup>k</sup>) and O(n<sup>k-1</sup>) respectively in the worst case, and a (1 - e<sup>-1</sup>)-approximate algorithm are designed. The simulation results indicate the efficiency and effectiveness of the proposed algorithms.","0743-166X;0743166X","","10.1109/INFOCOM.2015.7218385","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7218385","","Approximation algorithms;Monitoring;Optimization;Temperature measurement;Temperature sensors;Wireless sensor networks","approximation theory;sensor placement;wireless sensor networks","WSN;composite event coverage problem;coverage quality;deployment costs;event monitoring;heterogeneous sensors deployment;time complexities;wireless sensor networks","","6","","20","","","April 26 2015-May 1 2015","","IEEE","IEEE Conference Publications"
"Design of a Joint Defense System for Mobile Ad Hoc Networks","H. Ferng; Chien-Liang Liu","Department of Computer Science and Information Engineering, National Taiwan University of Science and Technology, Taipei 106, Taiwan. E-mail: hwferng@mail.ntust.edu.tw","2006 IEEE 63rd Vehicular Technology Conference","","2006","2","","742","746","A mobile ad hoc network (MANET) is vulnerable to malicious attacks although it is suitable for various environments because of its rapid establishment. In order to set up a secured MANET, we should not only adopt encryption and authentication, but also equip each node with an intrusion detection system to detect malicious attackers. Focusing on intrusion detection, we propose an intrusion detection system that integrates a finite state machine (FSM) and a support vector machine (SVM) to analyze traffic patterns of MANETs. Shown by numerical examples, such an intrusion detection system is able to amend drawbacks of single-technique systems and enhance usage/right of normal users as well as security of MANETs","1550-2252;15502252","","10.1109/VETECS.2006.1682923","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1682923","","Ad hoc networks;Computer science;Cryptography;Electronic mail;Intrusion detection;Mobile ad hoc networks;Protocols;Search engines;Support vector machines;Wireless networks","ad hoc networks;cryptography;finite state machines;mobile radio;support vector machines;telecommunication security","FSM;MANET;SVM;authentication;encryption;finite state machine;intrusion detection system;joint defense system;malicious attackers;mobile ad hoc networks;support vector machine","","2","","20","","","7-10 May 2006","","IEEE","IEEE Conference Publications"
"Detecting anomalies in Online Social Networks using graph metrics","R. Kaur; S. Singh","Computer Science and Engineering, UIET, Panjab University, Chandigarh, India","2015 Annual IEEE India Conference (INDICON)","","2015","","","1","6","Online Social Networks have emerged as an interesting area for analysis where each user having a personalized user profile interact and share information with each other. Apart from analyzing the structural characteristics, detection of abnormal and anomalous activities in social networks has become need of the hour. These anomalous activities represent the rare and mischievous activities that take place in the network. Graphical structure of social networks has encouraged the researchers to use various graph metrics to detect the anomalous activities. One such measure that seemed to be highly beneficial to detect the anomalies was brokerage value which helped to detect the anomalies with high accuracy. Also, further application of the measure to different datasets verified the fact that the anomalous behavior detected by the proposed measure was efficient as compared to the already proposed measures in Oddball Algorithm.","","","10.1109/INDICON.2015.7443800","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7443800","Anomaly;Brokerage;Cliques;Curve fitting;Graph theory;Online Social networks;Regression;Stars","Curve fitting;Feature extraction;Fitting;Graph theory;Image edge detection;Measurement;Social network services","graph theory;security of data;social networking (online)","Oddball algorithm;anomaly activity detection;graph metrics;online social networks;personalized user profile;structural characteristic analysis","","","","13","","","17-20 Dec. 2015","","IEEE","IEEE Conference Publications"
"S2RP: a Secure and Scalable Rekeying Protocol for Wireless Sensor Networks","G. Dini; I. M. Savino","University of Pisa, Dipartimento di Ingegneria dell'Informazione, via Diotisalvi 2, 56100 PISA Italy. g.dini@iet.unipi.it","2006 IEEE International Conference on Mobile Ad Hoc and Sensor Systems","","2006","","","457","466","Nowadays, small, low-cost sensor nodes are being widely used to build self-organizing, large-scale, wireless networks for various applications, such as environmental surveillance, health monitoring and so on. Given its unique features, protecting a wireless sensor network is a difficult challenge. In this paper, we present S<sup>2</sup>RP, a secure and scalable rekeying protocol for sensor networks. S<sup>2</sup>RP aims at a trade-off between security and resource consumption while it guarantees an authentic distribution of keys that preserves both forward and backward security. The proposed protocol is efficient in terms of communication overhead as it reduces the number and the size of rekeying messages. It is efficient in terms of computation overhead as it guarantees the necessary level of confidentiality and authenticity of rekeying messages by only using symmetric ciphers and one-way hash functions. It follows that S<sup>2 </sup>RP meets the reduced capabilities of sensor nodes, results scalable, and particularly attractive for large and/or highly dynamic groups","2155-6806;21556806","","10.1109/MOBHOC.2006.278586","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4053932","","Broadcasting;Large-scale systems;Monitoring;Protection;Public key cryptography;Security;Sensor phenomena and characterization;Surveillance;Wireless application protocol;Wireless sensor networks","cryptographic protocols;message authentication;wireless sensor networks","S<sup>2</sup>RP;hash functions;messages authenticity;secure-scalable rekeying protocol;wireless sensor networks","","8","","20","","","Oct. 2006","","IEEE","IEEE Conference Publications"
"Operating system security by integrity checking and recovery using write-protected storage","J. Kaczmarek; M. R. Wrobel","Fac. of Electron., Telecommun. & Inf., Gdansk Univ. of Technol., Gdansk, Poland","IET Information Security","","2014","8","2","122","131","An integrity checking and recovery (ICAR) system is presented here, which protects file system integrity and automatically restores modified files. The system enables files cryptographic hashes generation and verification, as well as configuration of security constraints. All of the crucial data, including ICAR system binaries, file backups and hashes database are stored in a physically write-protected storage to eliminate the threat of unauthorised modification. A buffering mechanism was designed and implemented in the system to increase operation performance. Additionally, the system supplies user tools for cryptographic hash generation and security database management. The system is implemented as a kernel extension, compliant with the Linux security model. Experimental evaluation of the system was performed and showed an approximate 10% performance degradation in secured file access compared to regular access.","1751-8709;17518709","","10.1049/iet-ifs.2012.0346","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6748546","","","Linux;database management systems;security of data","ICAR system binaries;Linux security model;buffering mechanism;cryptographic hashes generation;file backups;file system integrity;hashes database;integrity checking and recovery system;security constraints;security database management;system security;unauthorised modification;write-protected storage","","1","","","","","March 2014","","IET","IET Journals & Magazines"
